ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
-0.115,-0.396,0.774,4.028,-6.531,0.793
-0.115,-0.395,0.775,4.272,-5.981,0.916
-0.115,-0.395,0.777,4.517,-5.554,1.038
-0.118,-0.397,0.778,4.578,-5.554,1.16
-0.122,-0.401,0.776,4.578,-5.432,1.221
-0.123,-0.406,0.771,4.517,-5.066,1.099
-0.122,-0.412,0.767,4.456,-4.333,1.038
-0.122,-0.416,0.766,4.639,-3.54,0.977
-0.124,-0.421,0.768,4.944,-2.808,0.854
-0.126,-0.425,0.773,5.493,-2.38,0.671
-0.129,-0.429,0.781,6.165,-2.075,0.305
-0.13,-0.433,0.788,7.019,-1.831,-0.122
-0.13,-0.436,0.796,7.935,-1.465,-0.61
-0.132,-0.438,0.804,8.972,-0.793,-1.099
-0.133,-0.44,0.815,10.01,0.0,-1.526
-0.137,-0.444,0.828,10.864,0.732,-1.953
-0.143,-0.447,0.842,11.719,1.099,-2.441
-0.15,-0.452,0.854,12.512,1.099,-3.113
-0.156,-0.455,0.861,13.184,0.854,-3.845
-0.16,-0.457,0.864,13.794,0.854,-4.578
-0.16,-0.457,0.863,14.282,1.343,-5.249
-0.159,-0.455,0.862,14.526,2.319,-5.737
-0.158,-0.452,0.865,14.648,3.54,-6.104
-0.16,-0.448,0.874,14.648,4.517,-6.348
-0.163,-0.444,0.885,14.465,5.066,-6.531
-0.167,-0.439,0.899,14.099,5.127,-6.836
-0.167,-0.433,0.911,13.672,5.005,-7.202
-0.165,-0.425,0.919,13.184,4.578,-7.324
-0.161,-0.416,0.922,12.39,4.395,-7.324
-0.156,-0.405,0.92,11.353,4.7,-7.263
-0.15,-0.396,0.916,9.949,5.188,-7.08
-0.148,-0.389,0.908,8.362,5.676,-6.897
-0.148,-0.387,0.899,6.836,6.165,-6.897
-0.15,-0.391,0.887,5.371,6.47,-7.08
-0.152,-0.401,0.875,4.028,6.775,-7.446
-0.153,-0.415,0.863,2.686,7.69,-7.874
-0.15,-0.428,0.86,0.977,9.827,-8.362
-0.145,-0.443,0.874,-1.16,13.367,-8.728
-0.142,-0.461,0.91,-3.601,17.639,-8.911
-0.147,-0.485,0.968,-5.92,21.667,-9.094
-0.166,-0.519,1.037,-7.874,23.621,-9.46
-0.197,-0.559,1.097,-9.094,22.461,-10.437
-0.225,-0.598,1.135,-9.583,18.677,-12.451
-0.236,-0.628,1.144,-9.521,14.099,-15.076
-0.225,-0.644,1.126,-9.216,10.986,-17.334
-0.2,-0.645,1.094,-8.789,11.23,-18.555
-0.172,-0.635,1.064,-8.118,14.465,-18.738
-0.157,-0.627,1.049,-7.202,18.738,-18.372
-0.161,-0.626,1.054,-5.737,21.79,-18.005
-0.178,-0.635,1.077,-3.723,22.156,-18.066
-0.198,-0.648,1.106,-1.343,19.714,-18.86
-0.209,-0.661,1.134,1.221,15.625,-20.081
-0.205,-0.666,1.15,3.723,11.414,-21.179
-0.19,-0.66,1.15,5.859,8.606,-21.667
-0.172,-0.646,1.131,7.751,7.385,-21.606
-0.158,-0.627,1.097,9.521,7.08,-21.179
-0.151,-0.611,1.05,11.047,6.653,-20.752
-0.149,-0.595,0.986,12.634,5.371,-20.386
-0.145,-0.583,0.931,13.855,4.211,-20.264
-0.136,-0.572,0.88,15.015,3.357,-20.02
-0.125,-0.559,0.837,15.991,2.93,-19.592
-0.114,-0.544,0.801,16.968,2.991,-18.86
-0.105,-0.53,0.774,17.883,3.418,-18.066
-0.099,-0.518,0.758,18.677,4.028,-17.395
-0.095,-0.508,0.755,19.348,4.639,-16.785
-0.091,-0.5,0.766,19.897,4.944,-16.235
-0.088,-0.493,0.787,20.203,4.578,-15.686
-0.086,-0.488,0.813,20.325,3.54,-15.198
-0.084,-0.482,0.838,20.142,1.953,-14.893
-0.081,-0.477,0.854,19.714,0.122,-14.648
-0.078,-0.47,0.86,18.982,-1.526,-14.343
-0.074,-0.462,0.854,18.066,-2.869,-14.038
-0.07,-0.454,0.838,16.907,-3.479,-13.672
-0.063,-0.445,0.821,15.503,-2.991,-13.123
-0.055,-0.437,0.81,13.855,-1.526,-12.451
-0.049,-0.429,0.81,12.207,0.0,-11.475
-0.051,-0.423,0.82,10.681,0.854,-10.559
-0.057,-0.418,0.837,9.46,0.671,-9.949
-0.063,-0.417,0.855,8.545,-0.366,-9.583
-0.065,-0.416,0.868,7.874,-1.648,-9.399
-0.063,-0.415,0.873,7.446,-2.38,-9.277
-0.061,-0.415,0.871,6.958,-2.258,-8.972
-0.059,-0.415,0.862,6.47,-1.343,-8.545
-0.06,-0.416,0.854,5.798,-0.061,-8.179
-0.066,-0.419,0.847,4.883,0.977,-7.813
-0.075,-0.426,0.843,3.967,1.526,-7.568
-0.084,-0.434,0.839,2.93,1.648,-7.507
-0.091,-0.443,0.835,1.77,1.709,-7.507
-0.095,-0.45,0.829,0.427,2.136,-7.446
-0.095,-0.454,0.821,-0.916,2.991,-7.324
-0.095,-0.456,0.813,-2.38,4.15,-6.958
-0.096,-0.456,0.807,-3.845,5.432,-6.531
-0.098,-0.457,0.805,-5.127,6.531,-6.104
-0.1,-0.457,0.809,-6.165,7.385,-5.737
-0.101,-0.457,0.816,-6.775,7.751,-5.31
-0.103,-0.458,0.826,-7.141,7.813,-4.883
-0.104,-0.458,0.834,-7.263,7.568,-4.456
-0.103,-0.456,0.84,-7.08,7.202,-3.967
-0.101,-0.45,0.844,-6.592,6.775,-3.357
-0.097,-0.442,0.846,-5.676,6.348,-2.686
-0.092,-0.431,0.847,-4.456,5.737,-1.892
-0.087,-0.419,0.849,-3.113,5.066,-1.038
-0.083,-0.406,0.852,-1.587,4.272,0.0
-0.078,-0.394,0.856,0.0,3.052,0.916
-0.073,-0.381,0.86,1.465,1.587,2.014
-0.068,-0.369,0.861,2.869,0.0,3.113
-0.063,-0.358,0.858,4.15,-1.709,4.15
-0.057,-0.35,0.851,5.249,-3.113,5.249
-0.051,-0.343,0.841,6.104,-4.089,6.287
-0.045,-0.338,0.831,6.653,-4.517,7.385
-0.041,-0.335,0.823,7.019,-4.578,8.423
-0.036,-0.333,0.817,7.263,-4.517,9.338
-0.034,-0.333,0.816,7.385,-4.456,10.132
-0.033,-0.334,0.816,7.446,-4.639,10.681
-0.032,-0.335,0.816,7.446,-4.883,11.047
-0.031,-0.335,0.813,7.263,-5.005,11.292
-0.027,-0.335,0.808,7.08,-4.7,11.414
-0.023,-0.334,0.801,6.897,-4.15,11.475
-0.018,-0.333,0.796,6.775,-3.296,11.414
-0.013,-0.332,0.794,6.775,-2.441,11.23
-0.01,-0.331,0.798,6.653,-1.526,10.986
-0.01,-0.332,0.81,6.47,-0.854,10.62
-0.012,-0.335,0.826,6.348,-0.671,10.132
-0.016,-0.34,0.844,6.226,-1.221,9.46
-0.02,-0.345,0.859,6.165,-2.197,8.667
-0.022,-0.349,0.868,6.042,-3.296,7.935
-0.023,-0.352,0.868,5.859,-4.089,7.202
-0.022,-0.353,0.86,5.554,-4.395,6.531
-0.021,-0.353,0.848,5.066,-4.333,5.981
-0.021,-0.354,0.835,4.456,-3.967,5.554
-0.022,-0.355,0.824,3.784,-3.479,5.31
-0.026,-0.36,0.817,3.174,-2.991,5.005
-0.032,-0.368,0.813,2.502,-2.686,4.883
-0.038,-0.379,0.813,1.648,-2.319,4.761
-0.043,-0.394,0.813,0.732,-1.709,4.639
-0.048,-0.409,0.814,-0.183,-0.916,4.578
-0.054,-0.425,0.817,-1.16,-0.061,4.578
-0.059,-0.441,0.823,-1.953,0.916,4.578
-0.062,-0.454,0.834,-2.502,1.831,4.456
-0.065,-0.464,0.851,-2.869,2.441,4.456
-0.068,-0.472,0.87,-2.869,2.441,4.395
-0.07,-0.478,0.891,-2.441,2.075,4.272
-0.071,-0.481,0.911,-1.465,1.465,4.089
-0.07,-0.484,0.932,-0.183,0.854,3.967
-0.07,-0.485,0.956,1.648,-0.061,4.15
-0.071,-0.485,0.973,3.418,-1.16,4.272
-0.072,-0.485,0.987,5.188,-2.441,4.456
-0.073,-0.484,0.999,7.019,-3.967,4.7
-0.074,-0.485,1.007,8.85,-5.615,5.066
-0.075,-0.487,1.014,10.742,-7.08,5.432
-0.075,-0.488,1.02,12.695,-8.118,5.798
-0.074,-0.488,1.026,14.709,-9.033,6.226
-0.075,-0.488,1.032,16.785,-9.949,6.653
-0.077,-0.488,1.038,18.738,-10.742,6.897
-0.078,-0.488,1.042,20.508,-11.292,7.019
-0.079,-0.487,1.044,22.156,-11.841,7.019
-0.08,-0.485,1.043,23.621,-12.451,7.08
-0.081,-0.481,1.037,24.963,-13.184,7.019
-0.082,-0.476,1.023,26.001,-13.855,6.775
-0.082,-0.469,1.007,26.733,-14.038,6.653
-0.079,-0.461,0.991,27.039,-13.306,6.653
-0.074,-0.452,0.985,26.855,-11.414,6.836
-0.072,-0.444,0.995,26.306,-9.033,7.324
-0.075,-0.439,1.023,25.391,-6.897,8.057
-0.085,-0.437,1.065,24.353,-5.737,8.606
-0.102,-0.439,1.11,23.254,-6.348,8.911
-0.123,-0.447,1.145,22.278,-8.728,8.911
-0.141,-0.456,1.157,21.667,-11.963,8.484
-0.148,-0.463,1.143,21.24,-14.465,7.874
-0.143,-0.465,1.108,20.569,-14.832,7.568
-0.129,-0.46,1.07,19.592,-12.512,7.874
-0.117,-0.451,1.044,18.311,-8.301,8.789
-0.114,-0.443,1.042,16.663,-4.211,9.949
-0.125,-0.443,1.065,14.954,-1.892,10.986
-0.143,-0.451,1.106,13.367,-1.77,11.536
-0.16,-0.464,1.154,11.78,-3.174,11.536
-0.172,-0.479,1.199,10.193,-5.615,11.414
-0.179,-0.491,1.23,8.667,-8.484,11.414
-0.182,-0.496,1.239,7.263,-11.108,11.597
-0.183,-0.495,1.222,6.287,-13.062,11.78
-0.183,-0.491,1.181,5.798,-14.343,12.024
-0.181,-0.487,1.121,6.042,-15.076,12.329
-0.18,-0.483,1.052,7.08,-15.198,12.573
-0.177,-0.479,0.98,8.85,-14.832,12.695
-0.175,-0.474,0.915,11.108,-13.977,12.817
-0.171,-0.466,0.86,13.733,-12.756,12.878
-0.168,-0.456,0.819,16.724,-11.475,12.817
-0.166,-0.444,0.792,19.775,-10.437,12.634
-0.164,-0.43,0.78,22.766,-9.644,12.329
-0.161,-0.414,0.78,25.574,-9.277,11.902
-0.159,-0.397,0.788,28.198,-9.399,11.414
-0.159,-0.382,0.797,30.457,-10.071,10.925
-0.16,-0.366,0.803,32.349,-11.108,10.254
-0.159,-0.351,0.802,33.569,-11.963,9.521
-0.155,-0.335,0.795,34.241,-12.146,8.85
-0.15,-0.319,0.787,34.241,-11.719,8.362
-0.146,-0.304,0.778,33.875,-10.864,8.057
-0.144,-0.289,0.773,33.02,-9.827,7.874
-0.146,-0.277,0.772,31.982,-9.033,7.69
-0.149,-0.268,0.776,30.701,-8.789,7.446
-0.152,-0.261,0.784,29.419,-8.667,7.141
-0.154,-0.255,0.796,27.893,-8.362,6.775
-0.153,-0.251,0.813,26.123,-7.813,6.531
-0.152,-0.248,0.833,24.353,-7.507,6.409
-0.152,-0.244,0.853,22.583,-7.568,6.287
-0.152,-0.239,0.869,20.813,-7.874,6.104
-0.151,-0.235,0.882,19.104,-8.179,5.798
-0.147,-0.23,0.892,17.456,-8.484,5.554
-0.144,-0.224,0.897,16.113,-8.667,5.432
-0.14,-0.218,0.899,15.015,-8.911,5.31
-0.136,-0.212,0.897,14.038,-9.155,5.127
-0.131,-0.208,0.892,12.878,-9.277,5.005
-0.127,-0.207,0.885,11.475,-9.155,5.005
-0.124,-0.208,0.88,9.766,-8.728,5.188
-0.122,-0.21,0.879,7.751,-8.362,5.493
-0.122,-0.214,0.882,5.432,-8.301,5.798
-0.12,-0.218,0.888,2.991,-8.667,6.165
-0.117,-0.223,0.896,0.427,-9.338,6.531
-0.113,-0.227,0.903,-2.136,-10.193,7.019
-0.109,-0.23,0.907,-4.7,-11.108,7.568
-0.104,-0.233,0.908,-7.019,-12.024,8.118
-0.1,-0.234,0.902,-9.094,-12.878,8.667
-0.095,-0.235,0.891,-10.803,-13.428,9.277
-0.09,-0.235,0.874,-12.085,-13.672,9.766
-0.085,-0.234,0.851,-13.123,-13.428,10.254
-0.081,-0.232,0.826,-13.733,-12.634,10.742
-0.077,-0.231,0.801,-14.038,-11.353,11.108
-0.072,-0.229,0.78,-13.977,-9.521,11.414
-0.068,-0.227,0.765,-13.733,-7.385,11.658
-0.065,-0.225,0.756,-13.245,-5.127,11.902
-0.063,-0.223,0.756,-12.695,-2.747,12.085
-0.061,-0.219,0.762,-11.963,-0.549,12.085
-0.061,-0.217,0.776,-10.864,1.343,12.024
-0.063,-0.216,0.787,-10.01,2.625,11.841
-0.065,-0.216,0.796,-9.155,3.723,11.597
-0.066,-0.217,0.802,-8.484,5.005,11.23
-0.068,-0.219,0.806,-7.996,6.165,10.986
-0.073,-0.221,0.809,-7.629,7.202,10.803
-0.079,-0.224,0.812,-7.568,8.057,10.681
-0.086,-0.228,0.817,-7.568,8.667,10.437
-0.093,-0.233,0.825,-7.568,9.033,10.193
-0.1,-0.238,0.837,-7.507,9.033,10.071
-0.107,-0.241,0.851,-7.324,8.728,9.888
-0.113,-0.243,0.867,-7.08,8.179,9.705
-0.118,-0.245,0.882,-6.775,7.568,9.521
-0.122,-0.247,0.896,-6.47,7.08,9.399
