fold,held_out_speed_mph,train_day4_speeds_mph,feature_set,features,model,n_train_windows,n_test_windows,n_train_recordings,n_test_recordings,MAE,RMSE,R2
1,7.0,5|6,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Linear Regression,380.0,52,20.0,3,0.548876391853008,0.6431636890904466,0.0
1,7.0,5|6,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Ridge Regression,380.0,52,20.0,3,0.6435331590102259,0.7536547320601797,0.0
1,7.0,5|6,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Lasso Regression,380.0,52,20.0,3,0.6281340541020174,0.7634697469466528,0.0
1,7.0,5|6,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Random Forest,380.0,52,20.0,3,0.6131399197232431,0.7241567306682862,0.0
2,6.0,5|7,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Linear Regression,388.0,44,20.0,3,0.3392204783566679,0.45753959591554105,0.0
2,6.0,5|7,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Ridge Regression,388.0,44,20.0,3,0.30636344291497813,0.3925829394624862,0.0
2,6.0,5|7,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Lasso Regression,388.0,44,20.0,3,0.4890802098079913,0.5753412537704646,0.0
2,6.0,5|7,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Random Forest,388.0,44,20.0,3,0.739304451352887,0.8203164010321943,0.0
3,5.0,6|7,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Linear Regression,393.0,39,20.0,3,0.723489773367873,0.8353065081097708,0.0
3,5.0,6|7,DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS|Dynamic_Accel_Mag_RMS|Accel_Mag_P95_P05|Accel_Mag_Jerk_RMS|Accel_HighFreq_Energy_Ratio|Gyro_Mag_RMS|GyroY_PeakToPeak|Accel_Anisotropy|Impact_Peak_Count|Mean_Impact_Interval_s|Impact_Interval_CV|Mean_Impact_Prominence|Mean_Impact_Width_s|Impact_Duty_Proxy|Vertical_Peak_Sharpness,Ridge Regression,393.0,39,20.0,3,0.915446792259333,0.968269725741504,0.0
