feature_set,features,model,n_train_windows,n_test_windows,n_train_recordings,n_test_recordings,MAE,RMSE,R2
A_Cadence,Cadence_spm,Linear Regression,297,110,14,7,0.3470291866431141,0.5180789090471477,0.9345338618477748
A_Cadence,Cadence_spm,Random Forest,297,110,14,7,0.39127963187864817,0.43446113451811025,0.953960906758414
B_AccelMag,Accel_Mag_RMS,Linear Regression,297,110,14,7,0.6291500881166331,0.7640559466209433,0.8576114006781312
B_AccelMag,Accel_Mag_RMS,Random Forest,297,110,14,7,0.4323637899964943,0.5957928249031696,0.9134204279164305
C_GyroY,Gyro_RMS_Y,Linear Regression,297,110,14,7,0.8043053419641983,0.9192248802086957,0.7939045333956387
C_GyroY,Gyro_RMS_Y,Random Forest,297,110,14,7,0.7963428792553995,0.941895233981004,0.7836135329328716
D_Cadence_AccelMag,Cadence_spm|Accel_Mag_RMS,Linear Regression,297,110,14,7,0.3528545296830619,0.533230789858675,0.9306485837133381
D_Cadence_AccelMag,Cadence_spm|Accel_Mag_RMS,Random Forest,297,110,14,7,0.2921525115335714,0.3785517077316851,0.9650477355991542
E_Cadence_GyroY,Cadence_spm|Gyro_RMS_Y,Linear Regression,297,110,14,7,0.42816818454618666,0.551803775446663,0.925733281867685
E_Cadence_GyroY,Cadence_spm|Gyro_RMS_Y,Random Forest,297,110,14,7,0.32814893603177636,0.4178401390242632,0.9574161216808287
F_Cadence_GyroY_AccelMag,Cadence_spm|Gyro_RMS_Y|Accel_Mag_RMS,Linear Regression,297,110,14,7,0.42737239934174626,0.5519312426912579,0.9256989665268305
F_Cadence_GyroY_AccelMag,Cadence_spm|Gyro_RMS_Y|Accel_Mag_RMS,Random Forest,297,110,14,7,0.3134450292434794,0.4172851521304169,0.9575291687379123
