recording_id,relative_path,subject_id,session,speed_mph,file_type,condition,duration_label,source_path,filename,file_size_bytes
s3_day2_2mph,data/raw/subject_3_day2/subject3_emi_day2_2min_2.0mph.csv,subject_3,day2,2.0,csv,normal,2min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_2min_2.0mph.csv,subject3_emi_day2_2min_2.0mph.csv,12383106
s3_day2_2p5mph,data/raw/subject_3_day2/subject3_emi_day2_2min_2.5mph.csv,subject_3,day2,2.5,csv,normal,2min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_2min_2.5mph.csv,subject3_emi_day2_2min_2.5mph.csv,10005867
s3_day2_3mph,data/raw/subject_3_day2/subject3_emi_day2_2min_3.0mph.csv,subject_3,day2,3.0,csv,normal,2min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_2min_3.0mph.csv,subject3_emi_day2_2min_3.0mph.csv,13052153
s3_day2_3p5mph,data/raw/subject_3_day2/subject3_emi_day2_2min_3.5mph.csv,subject_3,day2,3.5,csv,normal,2min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_2min_3.5mph.csv,subject3_emi_day2_2min_3.5mph.csv,9286951
s3_day2_4mph,data/raw/subject_3_day2/subject3_emi_day2_2min_4.0mph.csv,subject_3,day2,4.0,csv,normal,2min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_2min_4.0mph.csv,subject3_emi_day2_2min_4.0mph.csv,9371168
s3_day2_4p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_4.5mphcsv.csv,subject_3,day2,4.5,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_4.5mphcsv.csv,subject3_emi_day2_5min_4.5mphcsv.csv,23656262
s3_day2_5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_5.0mph.csv,subject_3,day2,5.0,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_5.0mph.csv,subject3_emi_day2_5min_5.0mph.csv,22812784
s3_day2_5p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_5.5mph.csv,subject_3,day2,5.5,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_5.5mph.csv,subject3_emi_day2_5min_5.5mph.csv,15002837
s3_day2_6mph,data/raw/subject_3_day2/subject3_emi_day2_5min_6.0mph.csv,subject_3,day2,6.0,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_6.0mph.csv,subject3_emi_day2_5min_6.0mph.csv,23502109
s3_day2_6p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_6.5mph.csv,subject_3,day2,6.5,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_6.5mph.csv,subject3_emi_day2_5min_6.5mph.csv,23758142
s3_day2_7mph,data/raw/subject_3_day2/subject3_emi_day2_5min_7.0mph.csv,subject_3,day2,7.0,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_7.0mph.csv,subject3_emi_day2_5min_7.0mph.csv,21899846
s3_day2_7p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_7.5mph.csv,subject_3,day2,7.5,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_7.5mph.csv,subject3_emi_day2_5min_7.5mph.csv,24575106
s3_day2_8mph,data/raw/subject_3_day2/subject3_emi_day2_5min_8.0mph.csv,subject_3,day2,8.0,csv,normal,5min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_3_day2/subject3_emi_day2_5min_8.0mph.csv,subject3_emi_day2_5min_8.0mph.csv,25355342
s4_day2_2mph,data/raw/subject_4_day2/subject4_bruno_day2_1min_2.0mph.csv,subject_4,day2,2.0,csv,normal,1min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_4_day2/subject4_bruno_day2_1min_2.0mph.csv,subject4_bruno_day2_1min_2.0mph.csv,5584922
s4_day2_2p5mph,data/raw/subject_4_day2/subject4_bruno_day2_1min_2.5mph.csv,subject_4,day2,2.5,csv,normal,1min,/Users/emismacbookpro/lenz-speed-clean/data/raw/subject_4_day2/subject4_bruno_day2_1min_2.5mph.csv,subject4_bruno_day2_1min_2.5mph.csv,5543170
