evaluation,fold,held_out_speed_mph,feature_set,model,feature,is_v3_feature,baseline_mae,n_train_windows,n_test_windows,mae_increase_mean,mae_increase_std
loso,fold_1,7.0,v2,Random Forest,Gyro_RMS_X,False,0.889963421273693,380.0,52,0.007934080983775453,0.0030261785394214355
loso,fold_1,7.0,v2,Random Forest,RMS_Z,False,0.889963421273693,380.0,52,0.006116717042223689,0.004030817243790949
loso,fold_1,7.0,v2,Random Forest,Gyro_RMS_Z,False,0.889963421273693,380.0,52,0.004471752120567563,0.003257925730967705
loso,fold_1,7.0,v2,Random Forest,Gyro_RMS_Y,False,0.889963421273693,380.0,52,0.0014988329316078111,0.001866884284044241
loso,fold_1,7.0,v2,Random Forest,GyroY_PeakToPeak,False,0.889963421273693,380.0,52,-0.00029019382893935575,0.0007324502037566792
loso,fold_1,7.0,v2,Random Forest,Gyro_Mag_RMS,False,0.889963421273693,380.0,52,-0.0013520550963875611,0.004008678101061144
loso,fold_1,7.0,v2,Random Forest,PeakToPeak_Z,False,0.889963421273693,380.0,52,-0.0021064376957514656,0.0006944324142612179
loso,fold_1,7.0,v2,Random Forest,Accel_Mag_Jerk_RMS,False,0.889963421273693,380.0,52,-0.003190241025200898,0.0011077313627219758
loso,fold_1,7.0,v2,Random Forest,Accel_Anisotropy,False,0.889963421273693,380.0,52,-0.004274568877284302,0.0026858633885048487
loso,fold_1,7.0,v2,Random Forest,Accel_Mag_RMS,False,0.889963421273693,380.0,52,-0.004946463655464554,0.005452071908448294
loso,fold_1,7.0,v2,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.889963421273693,380.0,52,-0.00601201078345149,0.005296648584040224
loso,fold_1,7.0,v2,Random Forest,Cadence_spm,False,0.889963421273693,380.0,52,-0.008826850338055614,0.0167878327221091
loso,fold_1,7.0,v2,Random Forest,Dynamic_Accel_Mag_RMS,False,0.889963421273693,380.0,52,-0.05278806198158288,0.011407395083578412
loso,fold_1,7.0,v2,Random Forest,Accel_Mag_P95_P05,False,0.889963421273693,380.0,52,-0.06293745212279403,0.011044281248956872
loso,fold_1,7.0,v3_full,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.6131399197232431,380.0,52,0.012352573891397833,0.017425031234546518
loso,fold_1,7.0,v3_full,Random Forest,Dynamic_Accel_Mag_RMS,False,0.6131399197232431,380.0,52,0.004073490384781804,0.00460144864656298
loso,fold_1,7.0,v3_full,Random Forest,RMS_Z,False,0.6131399197232431,380.0,52,0.001995137793842868,0.0008704090765582472
loso,fold_1,7.0,v3_full,Random Forest,Accel_Anisotropy,False,0.6131399197232431,380.0,52,0.0014711469945144348,0.0025356061358014583
loso,fold_1,7.0,v3_full,Random Forest,Impact_Interval_CV,True,0.6131399197232431,380.0,52,0.0007687183884679334,0.0002455186514644463
loso,fold_1,7.0,v3_full,Random Forest,GyroY_PeakToPeak,False,0.6131399197232431,380.0,52,0.0002765933145679522,0.000321059683814296
loso,fold_1,7.0,v3_full,Random Forest,Gyro_RMS_Z,False,0.6131399197232431,380.0,52,0.00010957461045052093,0.0008989715868449517
loso,fold_1,7.0,v3_full,Random Forest,Accel_Mag_RMS,False,0.6131399197232431,380.0,52,-0.00017962977422112392,0.001285334450828538
loso,fold_1,7.0,v3_full,Random Forest,PeakToPeak_Z,False,0.6131399197232431,380.0,52,-0.00024020838032923948,0.0001763006175927279
loso,fold_1,7.0,v3_full,Random Forest,Gyro_Mag_RMS,False,0.6131399197232431,380.0,52,-0.0007766296244993808,0.0022108179708869692
loso,fold_1,7.0,v3_full,Random Forest,Accel_Mag_Jerk_RMS,False,0.6131399197232431,380.0,52,-0.0008182972733279541,0.0016543055041755876
loso,fold_1,7.0,v3_full,Random Forest,Impact_Peak_Count,True,0.6131399197232431,380.0,52,-0.001237179487179496,0.0002995603424200576
loso,fold_1,7.0,v3_full,Random Forest,Gyro_RMS_X,False,0.6131399197232431,380.0,52,-0.001544546705628469,0.0008247223366934089
loso,fold_1,7.0,v3_full,Random Forest,Gyro_RMS_Y,False,0.6131399197232431,380.0,52,-0.0017717193673271994,0.0033645619725688526
loso,fold_1,7.0,v3_full,Random Forest,Mean_Impact_Width_s,True,0.6131399197232431,380.0,52,-0.0031814300316069205,0.01888437188726664
loso,fold_1,7.0,v3_full,Random Forest,Cadence_spm,False,0.6131399197232431,380.0,52,-0.004632393172212179,0.0006995826633153126
loso,fold_1,7.0,v3_full,Random Forest,Impact_Duty_Proxy,True,0.6131399197232431,380.0,52,-0.005276659146129122,0.003787801209983976
loso,fold_1,7.0,v3_full,Random Forest,Vertical_Peak_Sharpness,True,0.6131399197232431,380.0,52,-0.007728209449119672,0.026187775810096504
loso,fold_1,7.0,v3_full,Random Forest,Mean_Impact_Prominence,True,0.6131399197232431,380.0,52,-0.008842380752780573,0.0031728342212831453
loso,fold_1,7.0,v3_full,Random Forest,Accel_Mag_P95_P05,False,0.6131399197232431,380.0,52,-0.027630770847788592,0.018360500506768053
loso,fold_1,7.0,v3_full,Random Forest,Mean_Impact_Interval_s,True,0.6131399197232431,380.0,52,-0.04052841875660879,0.020833774109970497
loso,fold_2,6.0,v2,Random Forest,Cadence_spm,False,0.3855468674211231,388.0,44,0.2404300044763583,0.038959294484100765
loso,fold_2,6.0,v2,Random Forest,Dynamic_Accel_Mag_RMS,False,0.3855468674211231,388.0,44,0.060832157737683204,0.025264814839778712
