evaluation,fold,held_out_speed_mph,feature_set,model,feature,is_v3_feature,baseline_mae,n_train_windows,n_test_windows,mae_increase_mean,mae_increase_std
standard,overall,,v2,Random Forest,Dynamic_Accel_Mag_RMS,False,0.23109750909741686,297,110,0.43626441262358595,0.04759353450705833
standard,overall,,v2,Random Forest,Accel_Mag_RMS,False,0.23109750909741686,297,110,0.425785076194107,0.05058686269098003
standard,overall,,v2,Random Forest,Cadence_spm,False,0.23109750909741686,297,110,0.3120134537432164,0.029430292533041247
standard,overall,,v2,Random Forest,Accel_Mag_P95_P05,False,0.23109750909741686,297,110,0.17309417936278815,0.016653874039762546
standard,overall,,v2,Random Forest,RMS_Z,False,0.23109750909741686,297,110,0.09206772335182159,0.00738432834925013
standard,overall,,v2,Random Forest,Accel_Mag_Jerk_RMS,False,0.23109750909741686,297,110,0.06922399628428014,0.010262633099218437
standard,overall,,v2,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.23109750909741686,297,110,0.04568533652773059,0.007506550646846564
standard,overall,,v2,Random Forest,Gyro_Mag_RMS,False,0.23109750909741686,297,110,0.03259179112241341,0.004115217023763936
standard,overall,,v2,Random Forest,PeakToPeak_Z,False,0.23109750909741686,297,110,0.03132166391329507,0.002633754194176951
standard,overall,,v2,Random Forest,Accel_Anisotropy,False,0.23109750909741686,297,110,0.008395990774192466,0.002092623117794419
standard,overall,,v2,Random Forest,Gyro_RMS_X,False,0.23109750909741686,297,110,0.004550062633813816,0.0015385758734240708
standard,overall,,v2,Random Forest,Gyro_RMS_Y,False,0.23109750909741686,297,110,-0.0018520166871396695,0.001848380758925436
standard,overall,,v2,Random Forest,GyroY_PeakToPeak,False,0.23109750909741686,297,110,-0.0019838120648171696,0.0010323202537431075
standard,overall,,v2,Random Forest,Gyro_RMS_Z,False,0.23109750909741686,297,110,-0.003756625711551803,0.0025736046197041866
standard,overall,,v3_full,Random Forest,Vertical_Peak_Sharpness,True,0.2911381236676556,297,110,0.5683071330247198,0.0644536411826671
standard,overall,,v3_full,Random Forest,Mean_Impact_Interval_s,True,0.2911381236676556,297,110,0.4861340325428688,0.04374541709962084
standard,overall,,v3_full,Random Forest,Accel_Mag_RMS,False,0.2911381236676556,297,110,0.17759643613870554,0.02383157880976202
standard,overall,,v3_full,Random Forest,Dynamic_Accel_Mag_RMS,False,0.2911381236676556,297,110,0.13755661330052898,0.014324299997521332
standard,overall,,v3_full,Random Forest,Accel_Mag_P95_P05,False,0.2911381236676556,297,110,0.08072347829160222,0.006540058755332745
standard,overall,,v3_full,Random Forest,Accel_Mag_Jerk_RMS,False,0.2911381236676556,297,110,0.06178132247028958,0.006791642381884045
standard,overall,,v3_full,Random Forest,RMS_Z,False,0.2911381236676556,297,110,0.05842983967238987,0.004465365952189052
standard,overall,,v3_full,Random Forest,Mean_Impact_Prominence,True,0.2911381236676556,297,110,0.03571695430238201,0.0027141308385377504
standard,overall,,v3_full,Random Forest,PeakToPeak_Z,False,0.2911381236676556,297,110,0.021050092540574616,0.001749129612653182
standard,overall,,v3_full,Random Forest,Impact_Duty_Proxy,True,0.2911381236676556,297,110,0.014995801865087935,0.0016158724156030732
standard,overall,,v3_full,Random Forest,Cadence_spm,False,0.2911381236676556,297,110,0.013170461390761301,0.0016939703026132699
standard,overall,,v3_full,Random Forest,Mean_Impact_Width_s,True,0.2911381236676556,297,110,0.0127314937922133,0.004974997083492655
standard,overall,,v3_full,Random Forest,Gyro_RMS_X,False,0.2911381236676556,297,110,0.003918662711912236,0.0006210011194462509
standard,overall,,v3_full,Random Forest,Accel_Anisotropy,False,0.2911381236676556,297,110,0.0017523076967474543,0.0010413787789249665
standard,overall,,v3_full,Random Forest,Impact_Interval_CV,True,0.2911381236676556,297,110,0.000566020866369768,0.0009877530528218776
standard,overall,,v3_full,Random Forest,Gyro_RMS_Y,False,0.2911381236676556,297,110,0.000335026686945869,0.0006338445771034561
standard,overall,,v3_full,Random Forest,GyroY_PeakToPeak,False,0.2911381236676556,297,110,6.399692802974977e-05,9.390402365692115e-05
standard,overall,,v3_full,Random Forest,Gyro_RMS_Z,False,0.2911381236676556,297,110,9.56284454615708e-06,0.00016901827580363842
standard,overall,,v3_full,Random Forest,Impact_Peak_Count,True,0.2911381236676556,297,110,0.0,0.0
standard,overall,,v3_full,Random Forest,Gyro_Mag_RMS,False,0.2911381236676556,297,110,-0.00029988046189527163,0.0006663367669713998
standard,overall,,v3_full,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.2911381236676556,297,110,-0.023708726613246172,0.0041053082237328155
