recording_id,relative_path,subject_id,session,speed_mph,file_type,condition,duration_label,original_duration_sec,proposed_trim_start_sec,proposed_trim_end_sec,trim_from_start_sec,trim_from_end_sec,detected_plateau_start_sec,detected_plateau_end_sec,steady_state_start_sec,steady_state_end_sec,steady_state_start_timestamp_sec,steady_state_end_timestamp_sec,steady_state_duration_sec,usable_steady_state_duration_sec,apparent_active_running_duration_sec,retained_active_fraction,trim_confidence,trim_review_status,manual_review_reason,dynamic_accel_mag_rms_reference,vertical_peak_sharpness_reference,cadence_spm_reference,dynamic_accel_mag_rms_baseline,vertical_peak_sharpness_baseline,dynamic_accel_mag_rms_enter_threshold,vertical_peak_sharpness_enter_threshold,dynamic_accel_mag_rms_remain_threshold,vertical_peak_sharpness_remain_threshold,dynamic_accel_mag_rms_collapse_threshold,vertical_peak_sharpness_collapse_threshold
s3_day2_2mph,data/raw/subject_3_day2/subject3_emi_day2_2min_2.0mph.csv,subject_3,day2,2.0,csv,normal,2min,190.08,26.0,5.08,26.0,5.08,21.0,190.0,26.0,185.0,26.0,185.0,159.0,159.0,172.0,0.9244,high,approved,trim diagnostic plot manually inspected and approved,0.133,1.3879,96.0,0.087,0.7889,0.1171,1.2214,0.0825,0.8605,0.0732,0.7634
s3_day2_2p5mph,data/raw/subject_3_day2/subject3_emi_day2_2min_2.5mph.csv,subject_3,day2,2.5,csv,normal,2min,152.75,22.0,5.75,22.0,5.75,17.0,152.0,22.0,147.0,22.0,147.0,125.0,125.0,140.0,0.8929,high,approved,trim diagnostic plot manually inspected and approved,0.1926,1.7492,108.0,0.1013,0.8354,0.1695,1.5393,0.1194,1.0845,0.1059,0.9621
s3_day2_3mph,data/raw/subject_3_day2/subject3_emi_day2_2min_3.0mph.csv,subject_3,day2,3.0,csv,normal,2min,198.52,19.0,5.52,19.0,5.52,14.0,198.0,19.0,193.0,19.0,193.0,174.0,174.0,189.0,0.9206,high,approved,trim diagnostic plot manually inspected and approved,0.2646,2.3674,120.0,0.0933,0.84,0.2328,2.0833,0.164,1.4678,0.1455,1.3021
s3_day2_3p5mph,data/raw/subject_3_day2/subject3_emi_day2_2min_3.5mph.csv,subject_3,day2,3.5,csv,normal,2min,141.28,18.0,10.28,18.0,10.28,13.0,136.0,18.0,131.0,18.0,131.0,113.0,113.0,131.0,0.8626,high,approved,trim diagnostic plot manually inspected and approved,0.3465,3.6541,120.0,0.0998,0.8792,0.3049,3.2156,0.2148,2.2656,0.1906,2.0098
s3_day2_4mph,data/raw/subject_3_day2/subject3_emi_day2_2min_4.0mph.csv,subject_3,day2,4.0,csv,normal,2min,142.53,27.0,10.53,27.0,10.53,22.0,137.0,27.0,132.0,27.0,132.0,105.0,105.0,127.0,0.8268,high,approved,trim diagnostic plot manually inspected and approved,0.4304,4.9975,132.0,0.0916,0.7251,0.3787,4.3978,0.2668,3.0985,0.2367,2.7487
s3_day2_4p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_4.5mphcsv.csv,subject_3,day2,4.5,csv,normal,5min,361.15,62.0,15.15,62.0,15.15,57.0,351.0,62.0,346.0,62.0,346.0,284.0,284.0,312.0,0.9103,high,approved,trim diagnostic plot manually inspected and approved,0.6952,9.9432,168.0,0.041,0.3444,0.6118,8.75,0.431,6.1648,0.3823,5.4687
s3_day2_5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_5.0mph.csv,subject_3,day2,5.0,csv,normal,5min,347.6,25.0,16.6,25.0,16.6,20.0,336.0,25.0,331.0,25.0,331.0,306.0,306.0,319.0,0.9592,high,approved,trim diagnostic plot manually inspected and approved,0.7359,11.18,168.0,0.1228,1.9241,0.6476,9.8384,0.4562,6.9316,0.4047,6.149
s3_day2_5p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_5.5mph.csv,subject_3,day2,5.5,csv,normal,5min,229.27,32.0,5.27,32.0,5.27,27.0,229.0,32.0,224.0,32.0,224.0,192.0,192.0,204.0,0.9412,high,approved,trim diagnostic plot manually inspected and approved,0.7564,12.0953,174.0,0.1586,1.755,0.6657,10.6439,0.469,7.4991,0.416,6.6524
s3_day2_6mph,data/raw/subject_3_day2/subject3_emi_day2_5min_6.0mph.csv,subject_3,day2,6.0,csv,normal,5min,358.24,44.0,14.24,44.0,14.24,39.0,349.0,44.0,344.0,44.0,344.0,300.0,300.0,319.0,0.9404,high,approved,trim diagnostic plot manually inspected and approved,0.7653,12.5432,180.0,0.1774,1.7866,0.6735,11.038,0.4745,7.7768,0.4209,6.8988
s3_day2_6p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_6.5mph.csv,subject_3,day2,6.5,csv,normal,5min,360.49,28.0,18.49,28.0,18.49,23.0,347.0,28.0,342.0,28.0,342.0,314.0,314.0,329.0,0.9544,high,approved,trim diagnostic plot manually inspected and approved,0.7874,13.1592,180.0,0.0297,0.245,0.6929,11.5801,0.4882,8.1587,0.433,7.2376
s3_day2_7mph,data/raw/subject_3_day2/subject3_emi_day2_5min_7.0mph.csv,subject_3,day2,7.0,csv,normal,5min,331.04,5.0,17.04,5.0,17.04,0.0,319.0,5.0,314.0,5.0,314.0,309.0,309.0,321.0,0.9626,high,approved,trim diagnostic plot manually inspected and approved,0.8209,14.0074,180.0,0.7781,13.0633,0.7224,12.3266,0.509,8.6846,0.4515,7.7041
s3_day2_7p5mph,data/raw/subject_3_day2/subject3_emi_day2_5min_7.5mph.csv,subject_3,day2,7.5,csv,normal,5min,374.4,43.0,18.4,43.0,18.4,38.0,361.0,43.0,356.0,43.0,356.0,313.0,313.0,328.0,0.9543,high,approved,trim diagnostic plot manually inspected and approved,0.8456,14.5723,192.0,0.118,0.7584,0.7441,12.8236,0.5243,9.0348,0.4651,8.0148
